,Questionario_Quantidade_Somado,Forum_TempoUso_Somado,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Login_Quantidade,Turno_TempoUsoTotal_Somado,Evadido,CodigoTurma
181,3,1978,45,3199,7,40625,0,4428
182,3,2553,52,5494,14,34578,0,4428
183,2,833,32,4006,14,34134,1,4428
184,3,8477,198,19287,26,98403,0,4224
185,3,1781,36,4414,11,31816,0,4224
186,3,346,48,5391,14,52575,0,4224
187,2,3384,32,5689,16,43071,0,4224
188,3,2323,38,4139,19,25102,0,4224
189,3,3927,63,4697,40,68519,0,4224
190,3,2514,39,6747,7,57985,0,4224
191,2,552,27,1285,5,39937,0,4224
192,3,2418,61,5723,20,56876,0,4224
193,3,3773,64,6710,16,58022,0,4224
194,2,2634,87,4237,2,57116,0,4224
195,3,1293,77,8380,10,49355,0,4224
196,1,0,8,1014,0,13299,1,4224
197,2,1372,33,3271,8,39914,0,4224
198,2,1487,32,2843,7,31610,0,4224
199,2,2385,31,3413,16,87660,0,4224
200,3,8001,68,7943,45,82413,0,4224
201,3,8985,47,6083,40,66815,0,4224
202,3,3052,53,5688,14,60562,0,4224
203,3,2037,36,3283,6,19065,0,4224
204,3,5112,46,5269,30,71384,0,4224
205,3,2643,133,2458,24,52015,0,4224
206,3,1367,51,5487,9,31613,0,4224
207,3,4331,40,4294,24,44322,0,4224
208,2,0,19,3382,3,28954,0,4224
209,1,4363,58,649,5,24654,0,4224
210,3,2763,72,11037,15,53388,0,4224
211,4,1715,54,6642,22,50602,0,4224
212,3,4486,93,4638,52,76179,0,4224
213,3,1266,107,3491,18,52455,0,4224
214,0,0,2,0,0,4824,1,4224
215,2,444,20,2426,3,20568,1,4224
216,3,4852,74,4770,24,60357,0,4224
217,1,1811,25,1149,5,23998,0,4224
218,3,2337,35,4273,22,54766,0,4224
219,2,300,18,1632,6,28688,1,4224
220,3,596,29,2826,29,52599,0,4224
221,2,180,48,3728,6,47158,1,4224
222,3,5144,33,7816,18,71042,0,4224
223,3,5794,74,11323,42,60969,0,4224
224,3,1523,53,1890,13,40980,1,4224
225,3,4085,54,6162,19,64722,1,4224
226,3,3554,92,11310,12,43394,0,4224
227,0,0,4,0,0,2561,1,4224
228,3,1343,21,2852,5,30733,0,4224
229,4,1699,47,4623,8,24389,0,4224
230,3,3571,44,5228,26,48118,0,4224
231,3,3524,57,4549,22,62171,0,4224
232,3,1615,29,4244,10,35972,0,4224
233,3,4333,50,3716,13,51137,0,4224
234,0,0,2,0,0,1690,1,4224
235,3,969,42,4160,12,35707,0,4224
236,3,1063,103,10862,8,47098,0,4224
237,3,2568,75,5942,20,53422,0,4224
238,3,1077,34,3852,8,28661,1,4224
239,3,1313,51,3383,5,43338,0,4224
240,2,2079,36,2093,31,40722,0,4224
241,3,0,24,3541,1,16118,0,4224
242,1,317,21,3277,3,34949,0,4224
243,3,722,42,6048,7,41563,0,4224
244,0,0,0,0,0,0,1,4224
245,0,0,0,0,0,0,1,4224
246,1,0,26,4331,2,31030,1,4224
247,3,2489,34,2525,32,58459,0,4224
248,3,2701,31,4512,6,30161,1,4224
249,3,3438,53,6209,12,49976,0,4224
250,3,1409,30,2811,12,31418,0,4224
251,3,966,64,7442,7,34487,0,4224
252,3,1962,38,5508,7,32597,0,4224
253,3,5891,71,3771,31,84889,0,4224
254,3,9210,60,5103,15,57991,0,4912
255,3,1479,41,3321,12,44112,0,4912
256,2,1928,33,2647,13,24400,0,4912
257,2,2531,38,3482,13,50426,0,4912
258,3,2162,82,6042,12,41201,0,4912
259,2,7343,58,4776,28,86279,0,4912
260,3,5671,32,6063,11,55533,0,4912
261,0,0,5,365,0,17266,0,4912
262,3,9420,32,6081,31,80953,0,4912
263,3,7379,94,12209,21,67004,0,4912
264,3,16252,124,5857,55,100909,0,4912
265,3,1489,33,3850,29,43429,0,4912
266,2,9936,275,3130,30,78427,0,4912
267,3,0,42,8497,17,31204,0,4912
268,2,12362,54,2995,39,44684,0,4912
269,2,1760,38,2972,16,39383,0,4912
270,2,0,31,1714,1,26892,0,4912
271,1,25,30,1502,7,24093,1,4912
272,3,3510,40,5272,10,37768,0,4912
273,3,2428,53,6446,10,31160,0,4912
274,3,788,88,10465,5,41550,0,4912
275,0,0,5,213,2,14595,1,4912
276,1,0,5,1025,2,12438,1,4912
277,2,960,37,5342,6,46540,0,4912
278,3,711,33,4682,11,33905,0,4912
279,3,1960,37,3589,7,48660,0,4912
