,Turno_TempoUsoTotal_Somado,Login_Quantidade,Log_Post_Quantidade_Somado,Questionario_TempoUso_Somado,Log_View_Quantidade_Somado,Numero_Dias_Acessados_Modulo_Somado,Evadido,CodigoTurma
487,6719,4,2,0,64,7,0,6388
488,7907,6,50,0,71,10,1,6388
489,7362,3,5,0,65,7,0,6388
490,7949,20,4,0,85,11,1,6388
491,12951,5,17,0,61,7,0,6388
492,8276,8,2,0,78,8,0,6388
493,22187,18,10,0,150,13,0,6388
494,16500,32,3,8,108,17,0,6388
495,16250,5,4,0,109,10,0,6388
496,9837,7,6,0,52,13,0,6388
497,4506,0,11,0,12,2,0,6388
498,22586,13,6,0,201,16,0,6388
499,3143,1,0,0,14,4,1,6388
500,7241,5,3,0,40,10,0,6388
501,13996,24,7,0,132,11,0,6388
502,1869,0,1,0,31,2,1,6388
503,6007,7,1,0,37,11,0,6388
504,4829,2,3,0,16,4,0,6388
505,13537,5,12,0,100,11,0,6388
506,2897,3,0,0,16,5,1,6388
507,20199,13,17,11,197,13,0,6388
508,15131,15,1,0,175,13,0,6388
509,14925,10,5,24,99,16,0,6388
510,2723,0,0,0,12,4,1,6388
511,426,0,0,0,5,2,1,6388
512,5281,4,1,0,35,7,0,6388
513,15949,8,10,36,97,11,0,6388
514,17114,21,8,11,122,12,0,6388
515,946,4,0,0,8,3,1,6388
516,13618,7,4,0,95,12,1,6388
517,0,0,0,0,0,0,1,6388
518,13339,10,13,0,95,7,1,6388
519,19202,11,16,0,109,11,0,6388
520,6710,2,1,0,42,9,1,6388
521,9768,6,3,0,40,9,0,6388
522,7878,4,1,0,62,8,0,6388
523,0,0,0,0,0,0,1,6388
524,5078,0,6,0,50,1,1,6388
525,11791,1,4,0,63,8,1,6388
526,18169,16,9,0,182,16,0,6388
527,13450,6,9,0,84,13,0,6388
528,27975,10,14,31,201,17,0,6388
529,4049,3,1,0,26,9,0,6388
530,37073,25,36,0,274,18,0,6388
531,18409,6,3,0,172,14,0,6388
532,779,1,0,0,9,2,1,6388
533,17148,16,14,923,153,14,1,6388
534,11262,15,8,0,120,12,0,6388
535,12537,8,1,300,73,11,1,6388
536,10854,6,6,0,115,8,0,6388
537,14029,18,4,0,113,8,0,6388
538,34186,32,13,2,282,17,0,6388
539,4266,0,10,0,7,1,1,6388
540,10449,5,2,0,77,7,1,6388
541,867,1,0,0,4,2,1,6388
542,12722,3,6,0,73,6,0,6388
543,2221,3,0,0,8,5,1,6388
544,23847,4,6,0,155,11,0,6388
545,18021,10,3,58,107,14,0,6388
546,7096,1,21,0,33,9,1,6388
547,4563,1,1,0,15,4,1,6388
548,6708,3,2,0,28,4,0,6388
549,16953,11,9,0,106,10,1,6388
550,4750,3,1,0,20,6,0,6388
551,12750,5,6,0,107,7,0,6388
552,7707,2,8,0,72,4,1,6388
553,1843,0,0,0,15,3,1,6388
554,17508,21,15,84,101,13,0,6388
555,9871,6,2,0,64,8,1,6388
556,8951,5,2,0,55,9,1,6388
557,9726,2,1,0,85,5,1,6388
558,27767,7,15,14,202,8,0,6388
559,4624,1,1,0,31,6,0,6388
560,11416,4,11,0,66,6,0,6388
561,14098,11,0,0,93,15,0,6388
562,8880,14,1,0,81,10,0,6388
563,671,0,0,0,6,1,1,6388
564,23203,28,16,0,215,14,0,6389
565,5750,3,9,0,86,8,1,6389
566,14953,10,21,8,137,11,0,6389
567,8850,8,6,300,97,16,0,6389
568,9504,0,23,0,89,4,1,6389
569,0,0,0,0,0,0,1,6389
570,1247,0,1,0,25,1,1,6389
571,2741,0,1,0,22,2,1,6389
572,5046,5,2,0,53,5,1,6389
573,15756,3,10,0,118,10,0,6389
574,37986,21,32,300,218,20,0,6389
575,21389,23,5,0,201,16,0,6389
576,0,0,0,0,0,0,1,6389
577,6338,1,4,0,35,4,1,6389
578,18954,33,26,0,230,9,0,6389
579,23233,16,8,0,224,12,0,6389
580,13973,6,1,17,90,12,0,6389
581,62277,59,12,99,395,23,0,6389
582,14702,5,4,0,108,8,0,6389
583,22047,15,27,0,214,14,0,6389
584,15845,4,3,0,65,11,1,6389
585,0,0,0,0,0,0,1,6389
586,6315,8,0,0,61,9,1,6389
587,17709,18,5,78,188,15,1,6389
588,16157,10,14,0,102,5,0,6389
589,9134,2,3,0,79,10,0,6389
590,6174,12,2,0,77,10,0,6389
591,9846,5,2,0,118,7,0,6389
592,36679,11,69,0,363,19,0,6389
593,4104,9,0,0,54,7,1,6389
594,36309,14,49,1658,282,18,0,6389
595,9296,4,2,0,64,9,1,6389
596,27664,10,2,0,265,16,0,6389
597,13536,2,25,0,71,5,0,6389
598,19545,8,8,0,183,9,0,6389
599,306,0,0,0,5,1,1,6398
600,2795,4,0,0,29,5,0,6398
601,8174,6,2,0,47,9,0,6398
602,326,0,0,0,12,1,1,6398
603,10596,5,2,0,65,9,1,6398
604,7682,4,1,0,76,6,0,6398
605,12120,18,1,0,128,13,0,6398
606,5287,2,1,0,63,5,0,6398
607,5978,3,0,348,81,10,0,6398
608,59221,23,4,70,665,23,1,6398
609,4851,0,2,0,33,6,0,6398
610,10544,1,3,0,100,18,0,6398
611,5372,2,1,0,50,9,1,6398
612,25486,30,15,14,185,14,0,6398
613,5639,2,0,0,62,10,0,6398
614,0,0,0,0,0,0,1,6398
615,1381,0,1,0,27,1,1,6398
616,6148,5,3,0,51,5,0,6398
617,9853,6,8,86,78,12,1,6398
618,6229,5,1,0,48,7,0,6398
619,11752,5,3,0,144,12,0,6398
620,35662,31,13,300,310,22,0,6398
621,22484,16,3,18,242,17,0,6398
622,8507,2,1,0,73,10,0,6398
623,3885,3,0,0,35,8,1,6398
624,15673,17,7,1,258,11,0,6398
625,0,0,0,0,0,0,1,6398
626,10172,7,3,0,50,10,0,6398
627,7264,4,2,0,53,9,1,6398
628,2162,0,0,0,20,4,1,6398
629,15714,12,20,12,116,14,0,6398
630,7741,1,2,0,52,6,1,6398
631,13282,9,6,0,112,9,1,6398
632,1220,1,0,0,6,4,1,6398
633,6584,0,8,0,39,4,1,6398
634,20629,14,9,56,163,16,0,6398
635,17100,13,1,307,137,23,0,6398
636,18476,6,4,0,138,13,0,6398
637,13228,12,2,0,95,9,1,6398
638,9143,4,2,0,106,5,0,6398
639,19693,5,3,0,135,10,0,6398
